target_type,property,display_name,source,checkin,previous_price,latest_price,delta_amount,delta_rate,direction,previous_collected_at_jst,latest_collected_at_jst
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-12,57200,52014,-5186,-0.0907,down,2026-07-14T02:00:06+09:00,2026-07-15T20:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-12,50600,46027,-4573,-0.0904,down,2026-07-13T14:00:07+09:00,2026-07-15T22:00:05+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-08-12,39600,27456,-12144,-0.3067,down,2026-06-14T22:00:06+09:00,2026-07-13T16:00:01+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-08-13,39600,27456,-12144,-0.3067,down,2026-06-14T22:00:06+09:00,2026-07-13T18:00:00+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-14,43450,39527,-3923,-0.0903,down,2026-07-13T22:00:01+09:00,2026-07-15T20:00:06+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-08-14,39600,30888,-8712,-0.22,down,2026-06-15T00:00:02+09:00,2026-07-13T18:00:00+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-15,29004,29614,610,0.021,up,2026-07-11T18:00:05+09:00,2026-07-12T18:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-15,38378,39527,1149,0.0299,up,2026-07-14T04:00:06+09:00,2026-07-15T20:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-16,18664,17765,-899,-0.0482,down,2026-07-10T20:00:05+09:00,2026-07-12T18:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-16,22550,20759,-1791,-0.0794,down,2026-07-14T06:00:06+09:00,2026-07-16T00:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-21,18664,17626,-1038,-0.0556,down,2026-07-10T20:00:05+09:00,2026-07-11T20:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-21,22287,24527,2240,0.1005,up,2026-07-14T08:00:06+09:00,2026-07-16T02:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-22,22916,22913,-3,-0.0001,down,2026-07-11T20:00:06+09:00,2026-07-12T20:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-22,36300,33027,-3273,-0.0902,down,2026-07-14T12:00:06+09:00,2026-07-16T04:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-23,18664,17276,-1388,-0.0744,down,2026-07-10T22:00:06+09:00,2026-07-12T20:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-23,29076,34027,4951,0.1703,up,2026-07-14T10:00:06+09:00,2026-07-16T04:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-28,18664,20515,1851,0.0992,up,2026-07-10T22:00:06+09:00,2026-07-11T22:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-28,18772,18027,-745,-0.0397,down,2026-07-12T23:49:00+09:00,2026-07-16T06:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-29,25465,22277,-3188,-0.1252,down,2026-07-11T22:00:06+09:00,2026-07-12T22:00:06+09:00
